Unique Well ID,Operator Name,First 12 mo CUM GAS  Mcf,First 12 mo CUM CND/OIL  Bbl,First 12 mo CUM BOE  Bbl,First 12 mo CALENDAR DAILY AVG GAS  Mcf,First 12 mo CALENDAR DAILY AVG BOE  Bbl,Total Measured Depth (m) WCFD,First 12 mo CUM HRS  hrs,Completion Year WCFD,Completed Length (m) WCFD,Avg Frac Spacing (m/s),Stages Actual WCFD,Technology Group WCFD,Avg Proppant Placed WCFD (t/m),Total Proppant Placed WCFD (t),Frac Fluid WCFD,Avg Fluid Pumped WCFD (m3/s)
108/10-10-080-17W6/00,OVINTIV CANADA ULC,545311,26791,117676,1494,322,5382,7675,2018,2928,86,34,Plug and Perf,1.30,3933,SW,510.3
102/09-17-080-18W6/00,SHELL CANADA LIMITED,769224,1015,129219,2108,354,4195,7680,2009,1601,320,5,Plug and Perf,0.50,811,SW,964.1
100/02-23-079-14W6/00,ARC RESOURCES LTD.,2135305,88,355972,5850,975,4909,7682,2017,2798,155,18,Plug and Perf,1.30,3658,SW,879.2
102/14-26-078-18W6/00,ARC RESOURCES LTD.,1615360,0,269227,4414,736,4940,7682,2010,2246,160,14,Plug and Perf,0.80,1872,WB,480.8
100/10-14-077-14W6/00,OVINTIV CANADA ULC,1327415,16442,237678,3637,651,4485,7682,2018,2092,95,22,Plug and Perf,1.70,3575,SW,421.3
102/11-04-081-16W6/00,ARC RESOURCES LTD.,553169,0,92195,1516,253,3160,7682,2010,1127,113,10,Plug and Perf,1.10,1250,BI Foam,151.0
102/04-08-081-20W6/00,SHELL CANADA LIMITED,2606159,0,434360,7140,1190,5244,7685,2016,2839,55,52,Ball and Seat/Coil Tubing,0.90,2598,SW,294.2
100/01-13-080-16W6/00,TOURMALINE OIL CORP.,1438550,1974,241732,3941,662,3527,7685,2013,1162,42,28,Ball and Seat/Plug and Perf,1.30,1540,SW,260.6
102/13-04-079-17W6/00,OVINTIV CANADA ULC,2712240,1244,453284,7411,1239,4591,7687,2014,1868,75,25,Ball and Seat ,2.70,5006,SW,1178.3
100/13-04-079-18W6/00,TOURMALINE OIL CORP.,1312770,149,218943,3597,600,3678,7687,2010,1115,223,5,Plug and Perf,1.10,1200,SW,1376.8
100/10-19-079-17W6/00,OVINTIV CANADA ULC,558724,2748,95869,1531,263,4270,7687,2010,1728,192,9,Coil Tubing Jet Cut,0.50,842,WB,157.2
102/16-02-079-18W6/00,TOURMALINE OIL CORP.,2605555,39,434298,7139,1190,3566,7690,2014,1071,41,26,Ball and Seat ,1.50,1583,SW,315.2
103/12-24-081-18W6/00,ARC RESOURCES LTD.,259418,51678,94914,711,260,3209,7690,2016,1078,72,15,Plug and Perf,1.40,1534,SW,506.5
104/15-05-080-17W6/00,OVINTIV CANADA ULC,1793837,57013,355986,4915,975,5342,7692,2018,2761,126,22,Plug and Perf,0.90,2371,SW,576.3
103/02-04-081-17W6/00,OVINTIV CANADA ULC,1404835,79256,313395,3838,856,4688,7692,2019,2476,99,25,Plug and Perf,1.80,4326,SW,605.5
100/07-21-080-17W6/00,OVINTIV CANADA ULC,556817,58374,151177,1521,413,5236,7692,2015,2874,99,29,Ball and Seat/Plug and Perf,1.70,4789,SW,794.7
100/10-32-077-17W6/00,MURPHY OIL COMPANY LTD.,558085,0,93014,1529,255,4889,7694,2010,1975,395,5,Plug and Perf,0.40,770,SW,396.0
104/16-13-081-18W6/00,OVINTIV CANADA ULC,224700,21027,58477,616,160,4016,7697,2018,1719,96,18,Plug and Perf,1.60,2776,SW,500.3
